State,GDP.Per.Capita
Alabama,"46641 "
Alaska,67459
Arizona,53798
Arkansas,43719
California,76814
Colorado,69169
Connecticut,77180
Delaware,79817
District of Columbia,211183
Florida,53695
Georgia,60464
Hawaii,58286
Idaho,49662
Illinois,66947
Indiana,56548
Iowa,62016
Kansas,60211
Kentucky,47867
Louisiana,50483
Maine,51974
Maryland,68406
Massachusetts,85279
Michigan,51731
Minnesota,67616
Mississippi,38091
Missouri,54082
Montana,49445
Nebraska,70055
Nevada,58485
New Hampshire,65212
New Jersey,69645
New Mexico,47061
New York,87915
North Carolina,58079
North Dakota,72924
Ohio,58200
Oklahoma,47996
Oregon,59720
Pennsylvania,60346
Rhode Island,57311
South Carolina,49411
South Dakota,63392
Tennessee,55565
Texas,63674
Utah,64873
Vermont,53497
Virginia,65313
Washington,82838
West Virginia,41472
Wisconsin,58444
Wyoming,62429
